Drug Name	Disease Name
Curcumin	Acute Kidney Injury|Arsenic Poisoning|Coloboma|Helicobacter Infections|Amnesia|Lymphoma, T-Cell|Hyperalgesia|Hereditary Sensory and Motor Neuropathy|Cocaine-Related Disorders|Myocardial Infarction|Ovarian Neoplasms|Prostatic Neoplasms|Enteritis|Multiple Myeloma|Alcohol-Related Disorders|Pulmonary Emphysema|Mercury Poisoning|Obesity|Stomach Ulcer|Pancreatic Neoplasms|Kidney Failure, Chronic|Brain Neoplasms|Albuminuria|Sepsis|Ascites|Colonic Neoplasms|Hypothyroidism|Arthritis, Rheumatoid|Diabetes Mellitus, Type 2|Neoplasms, Hormone-Dependent|Osteoporosis|Seizures|Urogenital Neoplasms|Learning Disorders|Movement Disorders|Skin Neoplasms|Lung Neoplasms|Liver Cirrhosis, Experimental|Mesothelioma|Hypoalbuminemia|Adenoma|Carcinoma|Carcinoma, Non-Small-Cell Lung|Neurobehavioral Manifestations|Respiratory Distress Syndrome, Adult|Memory Disorders|Inflammatory Bowel Diseases|Hyperthyroidism|Ventricular Dysfunction, Left|Drug-Induced Liver Injury|Intestinal Neoplasms|Alzheimer Disease|Edema|Neoplasms|Carcinoma, Hepatocellular|Liver Diseases|Hypertension|Muscular Atrophy, Spinal|Hyperglycemia|Fatty Liver|Neurotoxicity Syndromes|Arthritis, Experimental|Melanoma|Asthenozoospermia|Inflammation|Fibrosis|Gastrointestinal Neoplasms|Weight Gain|Atherosclerosis|Leukemia|Breast Neoplasms|Osteoarthritis|Colitis|Neoplasms, Experimental|Autoimmune Diseases|Corneal Neovascularization|Necrosis|Nervous System Neoplasms|Capillary Leak Syndrome|Hyperlipidemias|Hypercholesterolemia|Carcinoma, Ductal, Breast|Nerve Degeneration|Neoplasm Invasiveness|Diabetic Nephropathies|Mouth Neoplasms|Cardiomyopathies|Leiomyoma|Sarcoma|Stomach Neoplasms|Oligospermia|Cardiomegaly|Myocardial Ischemia|Cystitis|Insulin Resistance|Drug-Related Side Effects and Adverse Reactions|Lymphoma|Kidney Diseases|Brain Ischemia|Ulcer|Hepatic Veno-Occlusive Disease|Urinary Bladder Neoplasms|Weight Loss|Carcinoma, Squamous Cell|Duodenal Ulcer|Hemorrhage|Dementia|Glioblastoma|Proteinuria|Hemolysis|Heart Diseases|Head and Neck Neoplasms
DT-PACE protocol	Multiple Myeloma
6-diphenylmethyl-5-(5-isopropyl-2-methoxybenzylamino)-1-azabicyclo(2.2.2)octane-3-carboxylic acid	Fibrosis|Colitis
spirapril	Hypertension
Diphenhydramine	Seizures|Substance Withdrawal Syndrome|Shock, Septic|Melanoma|Pruritus|Sneezing|Speech Disorders|Dystonic Disorders|Sinusitis|Airway Obstruction|Movement Disorders|Hypersensitivity|Facial Nerve Diseases|Athetosis|Exanthema|Akathisia, Drug-Induced|Endometrial Neoplasms|Dyskinesia, Drug-Induced|Fever|Pain|Heart Failure|Vomiting|Hyperalgesia|Common Cold|Muscle Rigidity|Poisoning|Laryngismus|Nausea|Hypotension|Dyskinesias|Dysarthria|Hypoglycemia|Torticollis|Drug Eruptions|Hyperkinesis|Voice Disorders|Rhinitis, Allergic, Seasonal|Parkinson Disease, Secondary|Dystonia|Catalepsy|Edema|Ocular Motility Disorders|Basal Ganglia Diseases|Laryngeal Diseases|Urticaria|Angioedema|Catatonia|Hyperglycemia|Migraine Disorders|Sleep Initiation and Maintenance Disorders|Spasm
Chloroform	Pain|Liver Neoplasms, Experimental
1-amino-1,3-dicarboxycyclopentane	Catalepsy
amedin	Tremor
S 9871	Hypotension|Bradycardia
Ro 23-7553	Renal Osteodystrophy|Retinoblastoma|Neoplasms, Experimental
oleocanthal	Nerve Degeneration
SEA 0400	Myocardial Reperfusion Injury
terameprocol	HIV Infections|Neoplasms
Phentermine	Hypertension|Obesity|Insulin Resistance|Cocaine-Related Disorders
pazopanib	Carcinoma, Renal Cell
Melengestrol Acetate	Encephalomyelitis, Autoimmune, Experimental
decitabine	Asthma|Adrenocortical Carcinoma|Thyroid Neoplasms|Myelodysplastic Syndromes|Leukemia, Myelomonocytic, Chronic|Rhabdomyosarcoma|Endocrine Gland Neoplasms|Melanoma|Urinary Bladder Neoplasms|Lung Neoplasms|Fibrosis|Endometrial Neoplasms|Stomach Neoplasms|Neuroblastoma|Leukemia, Myeloid, Acute|Primary Myelofibrosis|Leukemia|Breast Neoplasms|Carcinoma|Carcinoma, Non-Small-Cell Lung|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Lymphoma|Ovarian Neoplasms|Colorectal Neoplasms|Hematologic Neoplasms|Leukemia, Myeloid|Multiple Myeloma|Carcinoma, Squamous Cell|Pancreatic Neoplasms|Neoplasms|Colonic Neoplasms|Fatty Liver|Uveal Neoplasms|Head and Neck Neoplasms
Diethylcarbamazine	Onchocerciasis|Hypertension|Elephantiasis, Filarial|Loiasis
cyclo(tryptophyl-prolyl)	Tachycardia, Ventricular
Piperonyl Butoxide	Abnormalities, Drug-Induced|Fever|Musculoskeletal Abnormalities|Kidney Diseases|Drug-Induced Liver Injury|Cleft Palate|Scabies|Urinary Bladder Diseases|Kidney Tubular Necrosis, Acute|Neural Tube Defects
parecoxib	Pain|Fever|Nociceptive Pain|Reflex Sympathetic Dystrophy
N-gamma-glutamylcysteine ethyl ester	Necrosis
Mequindox	Bacterial Infections
Methiothepin	Hyperkinesis|Seizures|Muscular Diseases|Necrosis|Bradycardia
AHR 12234	Tachycardia, Ventricular
MRK 003	Carcinoma, Pancreatic Ductal|Breast Neoplasms|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Lung Neoplasms|Precursor Cell Lymphoblastic Leukemia-Lymphoma
Lasofoxifene	Vaginal Diseases|Osteoporosis
5-iodo-3-(2-azetidinylmethoxy)pyridine	Nerve Degeneration
alpha-phenyl-1-(2-phenylethyl)-4-piperidinemethanol	Seizures|Hyperalgesia
Etidronic Acid	Arteriosclerosis|Osteoporosis
Sitagliptin Phosphate	Hyperglycemia|Inflammation|Weight Loss|Diabetes Mellitus, Type 2
phytofluene	Neoplasms
Riluzole	Seizures|Dyskinesia, Drug-Induced|Retinopathy of Prematurity|Pain|Retinal Diseases|Amyotrophic Lateral Sclerosis|Necrosis|Hyperkinesis|Epilepsy, Absence|Movement Disorders|Manganese Poisoning|Nerve Degeneration|Mercury Poisoning, Nervous System|Neovascularization, Pathologic|Ischemia
amiloride, hydrochlorothiazide drug combination	Hypertension|Heart Failure
salvin	Dyskinesia, Drug-Induced|Hyperplasia|Mouth Neoplasms|Neurobehavioral Manifestations|Carcinoma, Squamous Cell|Neoplasms, Experimental
fluvastatin	Neoplasm Invasiveness|Myocardial Infarction|Hyperlipidemias|Heart Failure|Hyperlipoproteinemia Type II|Hypercholesterolemia|Atherosclerosis|Cardiovascular Diseases|Hypertriglyceridemia|Bacterial Infections|Diabetic Neuropathies|Cardiomyopathies|Multiple Myeloma|Cell Transformation, Neoplastic|Hepatitis C|Coronary Disease|Dyslipidemias|Proteinuria
anipamil	Necrosis|Cardiomyopathies
limonexic acid	Pain
(3-ethyl-2-methyl-quinolin-6-yl)-(4-methoxycyclohexyl)methanone methanesulfonate	Catalepsy
Peptichemio	Lymphoma, Non-Hodgkin|Adenocarcinoma
2',5'-oligoadenylate	Respiratory Syncytial Virus Infections|Cardiovirus Infections
Pentostatin	Leukemia, Hairy Cell|Leukemia, Lymphocytic, Chronic, B-Cell
1-(benzofuran-2-yl)-2-propylaminopentane	Amphetamine-Related Disorders
CMFVP protocol	Breast Neoplasms|Carcinoma
L 701324	Hyperkinesis|Cocaine-Related Disorders|Muscle Rigidity
VEEP regimen	Hodgkin Disease
R-7050	Anorexia
Dexa-BEAM protocol	Hodgkin Disease
Pentazocine	Muscular Diseases|Pain|Arachnoiditis|Abdominal Pain|Back Pain|Arthritis|Postoperative Complications|Osteoarthritis, Spine|Chest Pain|Arthralgia|Labor Pain|Myocardial Infarction|Spondylosis|Pain, Postoperative|Fibrosis
Unithiol	Hyperplasia|Arsenic Poisoning|Kidney Diseases|Cerebellar Diseases|Mercury Poisoning|Poisoning|Lead Poisoning
VK 744	Blood Platelet Disorders
oxycodone-acetaminophen	Delirium|Substance Withdrawal Syndrome
zerumbone	Liver Neoplasms|Dyslipidemias
aviptadil	Erectile Dysfunction
NCX 6560	Inflammation|Hyperlipidemias|Pulmonary Embolism
1-phenylcyclohexylamine	Seizures|Catalepsy
alpha-(4-pyridyl-1-oxide)-N-tert-butylnitrone	Cardiomyopathies
EPOCH protocol	Nose Neoplasms|Hodgkin Disease|Lymphoma, Non-Hodgkin|Lymphoma
verlukast	Asthma|Bronchial Spasm|Edema|Acute Lung Injury|Bronchial Hyperreactivity|Inflammation
2'-deoxy-2'-fluoro-2'-C-methylcytidine	Hepatitis C
Enkephalin, Ala(2)-MePhe(4)-Gly(5)-	Substance Withdrawal Syndrome|Nociceptive Pain|Pain|Hyperalgesia|Hypertension|Hepatitis C
Pyridoxal	Seizures
ukrain	Fever|Pain
Fingolimod Hydrochloride	Neoplasm Invasiveness|Infarction, Middle Cerebral Artery|Glomerulonephritis|Atherosclerosis|Acute Lung Injury|Proteinuria|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Multiple Sclerosis|Pulmonary Fibrosis
vofopitant	Cystitis
3-(2-(4-chlorophenylsulfanyl)phenyl)-N-(4-dimethylaminobutyl)acrylamide	Erectile Dysfunction
diphenyldiselenide	Dyskinesia, Drug-Induced|Mercury Poisoning, Nervous System|Weight Loss|Brain Diseases|Nerve Degeneration|Drug-Induced Liver Injury
rice bran oil	Diabetes Mellitus, Experimental|Hyperglycemia|Diabetes Mellitus, Type 1|Proteinuria|Diabetic Nephropathies
elymoclavine	Catalepsy
9-deoxy-delta-9-prostaglandin D2	Lung Neoplasms
sesamin	Infarction, Middle Cerebral Artery|Edema|Brain Injuries|Inflammation|Hypokinesia|Drug-Induced Liver Injury|Parkinsonian Disorders|Catalepsy|Heart Diseases
Vardenafil Dihydrochloride	Spinal Cord Injuries|Urinary Bladder Neck Obstruction|Erectile Dysfunction|Disease Models, Animal
VI-14 flavonoid	Neoplasm Invasiveness|Breast Neoplasms
galangin	Hypertriglyceridemia|Hypersensitivity|Inflammation|Insulin Resistance|Hyperglycemia|Neoplasms, Experimental|Hyperinsulinism|Anaphylaxis
Antioxidants	Melanoma|Lung Injury|Prostatic Neoplasms|Acute Lung Injury|Manganese Poisoning|Neurodegenerative Diseases|Nervous System Diseases|Hypertension|Respiratory Distress Syndrome, Adult|Ventricular Dysfunction, Left
physostigmine salicylate	Paralysis|Confusion|Hallucinations|Drug Overdose|Coma|Ataxia|Disorders of Excessive Somnolence|Psychomotor Agitation|Amnesia, Anterograde|Delirium|Hypoventilation
delphinidin	Hepatomegaly|Liver Cirrhosis|Necrosis|Atherosclerosis|Retinal Diseases
hesperidin methylchalcone	Hyperalgesia|Pain
3-chloro-3'-((2-cyclopentyl-3-oxo-2,3-dihydrobenzo(d)isothiazol-6-yloxy)methyl)biphenyl-4-carboxylic acid	Cocaine-Related Disorders
Pyruvic Acid	Necrosis|Mitochondrial Diseases
fluphenazine sulfoxide	Hyperkinesis|Catalepsy
8-(3-chlorostyryl)caffeine	Movement Disorders|Hypotension|Ventricular Dysfunction|Catalepsy|Drug-Related Side Effects and Adverse Reactions
befunolol	Ocular Hypertension
phenidone	Neurotoxicity Syndromes|Edema
Chlormadinone Acetate	Hot Flashes
(5-(2,4-bis((3S)-3-methylmorpholin-4-yl)pyrido(2,3-d)pyrimidin-7-yl)-2-methoxyphenyl)methanol	Lymphoma, Follicular|Lymphoma, B-Cell
9-methoxycamptothecin	Uterine Cervical Neoplasms|Carcinoma|Ovarian Neoplasms
mosapride	Irritable Bowel Syndrome|Dyspepsia
beta Carotene	Neoplasms|Stomach Diseases|Glioma|Asthenozoospermia|Liver Neoplasms, Experimental|Alcoholic Intoxication|Hepatitis C|Disease Progression|Carcinoma, Hepatocellular|Stomach Ulcer|Liver Neoplasms|Oligospermia|Drug-Induced Liver Injury|Diabetic Retinopathy|HIV Infections|Lung Neoplasms|Arrhythmias, Cardiac|Brain Ischemia
Pralidoxime Compounds	Seizures|Poisoning|Status Epilepticus
essential 303 forte	Drug-Induced Liver Injury
ferroquine	Malaria
Oxytetracycline	Bronchopneumonia|Acne Vulgaris|Urinary Tract Infections
trimethobenzamide	Nausea
manidipine	Hypertension|Hypertrophy, Left Ventricular
XH-14	Cardiovascular Diseases
etoricoxib	Gout|Low Back Pain|Osteoarthritis|Spondylitis, Ankylosing|Cystitis|Alveolar Bone Loss|Arthritis, Rheumatoid|Hemorrhage|Periodontitis
A 68930	Hyperkinesis
Lorazepam	Psychoses, Substance-Induced|Seizures|Substance Withdrawal Syndrome|Akinetic Mutism|Deglutition Disorders|Status Epilepticus|Movement Disorders|Myoclonus|Delirium|Akathisia, Drug-Induced|Tachycardia|Alcoholism|Pain|Vomiting|Status Asthmaticus|Neuroleptic Malignant Syndrome|Nausea|Chest Pain|Dystonia|Psychomotor Agitation|Alcohol Withdrawal Delirium|Hypertension|Rhabdomyolysis|Catatonia|Acute Disease|Sleep Initiation and Maintenance Disorders
Liuwei Dihuang Decoction	Paralysis
Uracil Mustard	Lymphoma, Non-Hodgkin|Leukemia, Lymphocytic, Chronic, B-Cell|Primary Myelofibrosis|Polycythemia Vera|Hodgkin Disease|Thrombocytosis|Thrombocythemia, Essential
beta-hydroxyisovalerylshikonin	Inflammation
azelaic acid	Psoriasis|Rosacea|Dermatitis, Atopic|Hyperpigmentation|Skin Diseases|Atherosclerosis|Melanosis|Acne Vulgaris|Dermatitis, Perioral|Hutchinson's Melanotic Freckle|Inflammation
heparin-dihydergot	Arteriosclerosis|Thrombosis|Vascular Diseases|Thromboembolism|Ischemia|Spasm
polylactic acid-polyglycolic acid copolymer	Skin Neoplasms|Melanoma|Chromosome Aberrations|Drug-Induced Liver Injury
candesartan cilexetil	Liver Cirrhosis, Experimental|Tachycardia, Sinus|Glomerulonephritis|Heart Failure|Cardiomegaly|Kidney Diseases|Hypertension|Proteinuria|Diabetic Nephropathies|Cardiomyopathy, Dilated|Heart Diseases
VICOP-B protocol	Lymphoma, Large B-Cell, Diffuse
Racivir	Hepatitis B
4(G)-alpha-glucopyranosyl-rutin	Cardiomyopathies
1-((4-methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole	Hyperalgesia
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea	Encephalomyelitis, Autoimmune, Experimental|Arthritis, Experimental
Carbon Disulfide	Kidney Diseases|Urinary Bladder Diseases
N-hydroxy-N-(1-(4-(phenylmethoxy)phenyl)ethyl)-acetamide	Cholestasis|Drug-Induced Liver Injury
Sucralfate	Gastrointestinal Hemorrhage|Duodenal Ulcer|Hiccup|Stomach Ulcer
Doxazosin	Diabetes Complications|Albuminuria|Prostatism|Urologic Diseases|Pain|Cardiomegaly|Hypercholesterolemia|Sexual Dysfunction, Physiological|Prostatic Neoplasms|Insulin Resistance|Hypertension|Leiomyoma|Prostatic Hyperplasia|Ventricular Dysfunction, Left|Urinary Bladder, Overactive|Coronary Disease|Arrhythmias, Cardiac|Dyslipidemias|Urinary Bladder Neck Obstruction
Fish Oils	Dyskinesia, Drug-Induced|Premature Birth|Hyperlipidemias|Kidney Diseases|Neoplasms|Cardiovascular Diseases|Hypertriglyceridemia|Hypertension|Proteinuria|Drug-Induced Liver Injury|Myocardial Infarction|Tachycardia|Fatty Liver|Catalepsy|Memory Disorders
neurotensin 69L	Hyperkinesis|Catalepsy
Guanabenz	Hypertension|Cocaine-Related Disorders
proxymetacaine	Glaucoma|Bacterial Infections|Pain|Miosis|Ocular Hypertension
Sodium Benzoate	Acute Kidney Injury|Proteinuria
azinomycin A	Neoplasms, Experimental
albuferon	Hepatitis C, Chronic
azinomycin B	Neoplasms, Experimental
N-(4-methoxyphenyl)retinamide	Skin Neoplasms
Methoxsalen	Psoriasis|Lung Neoplasms|Kidney Diseases|Drug-Induced Liver Injury|Mycosis Fungoides|Vitiligo|Vestibular Diseases|Eczema|Tinea Capitis|Lymphoma, T-Cell, Cutaneous
tepirindole	Catalepsy
Feitai	Pulmonary Fibrosis|Carcinoma, Non-Small-Cell Lung
5-(2,4-dihydroxybenzylidene)-2-(phenylimino)-1,3-thiazolidin	Carcinoma, Non-Small-Cell Lung
broxyquinoline	Amebiasis
2-(allylthio)pyrazine	Skin Neoplasms|Liver Neoplasms, Experimental|Drug-Induced Liver Injury
pantogab	Hyperkinesis
RV 538	Kidney Diseases|Neoplasms, Experimental|Carcinoma, Ehrlich Tumor|Glioma
MACOP-B protocol	Lymphoma|Lymphoma, Non-Hodgkin
3,7-dimethyl-1-propargylxanthine	Muscle Rigidity|Extravasation of Diagnostic and Therapeutic Materials|Catalepsy|Brain Ischemia
malabaricone B	Stomach Ulcer
malabaricone C	Stomach Ulcer
RG 13965	Thrombosis
BN 52256	Ventricular Fibrillation
Weichang'an	Stomach Neoplasms
phenserine	Learning Disorders|Memory Disorders
Thiothixene	Hyperkinesis
Aminoglycosides	Biliary Tract Diseases|Sepsis|Endocarditis, Bacterial|Staphylococcal Infections|Gram-Negative Bacterial Infections|Cystic Fibrosis
tetrakis(N-methyl-4-pyridiniumyl)porphine manganese(III) complex	Cardiomyopathy, Alcoholic|Infarction, Middle Cerebral Artery|Kidney Diseases|Fibrosis|Reperfusion Injury|Mitochondrial Diseases|Drug-Related Side Effects and Adverse Reactions|Ischemia|Heart Diseases
haloperidol decanoate	Hallucinations
timosaponin B-II	Myocardial Infarction
UK 343,664	Movement Disorders
fusaric acid N,N-diethylaminoethylamide	Arrhythmias, Cardiac
Selenomethionine	Arsenic Poisoning
norethindrone acetate	Coronary Occlusion|Hot Flashes|Vaginal Diseases|Myocardial Ischemia|Osteoporosis, Postmenopausal|Dysuria|Sleep Initiation and Maintenance Disorders
5-(3-(3-hydroxyphenoxy)azetidin-1-yl)-5-methyl-2,2-diphenylhexanamide	Bronchiolitis Obliterans
3-amino-2-(S)-hydroxypropyl-methyl-phosphinic acid	Cocaine-Related Disorders
carmustine with prolifeprosan 20	Glioma
zoniporide	Myocardial Reperfusion Injury|Ventricular Fibrillation|Reperfusion Injury|Cerebral Infarction
cicletanine	Hypertension|Glomerulosclerosis, Focal Segmental
UA 0713	Rett Syndrome
Sulfonamides	Seizures|Meningitis, Haemophilus|Malaria|AIDS-Related Opportunistic Infections
Thiamylal	Seizures|Epilepsy, Generalized|Epilepsy, Tonic-Clonic
diethylenetriamine	Seizures
Monoamine Oxidase Inhibitors	Parkinson Disease|Catatonia
Nitrendipine	Coronary Vasospasm|Seizures|Albuminuria|Substance Withdrawal Syndrome|Vascular Calcification|Cardiomegaly|Atherosclerosis|Hypertrophy, Left Ventricular|Hypertension, Renal|Vascular Diseases|Hypertension|Ventricular Dysfunction, Left|Kidney Tubular Necrosis, Acute|Hypertension, Malignant|Anoxia|Ischemia|Diabetes Mellitus, Type 2
Olmesartan Medoxomil	Glomerulonephritis|Kidney Diseases|Vascular Diseases|Insulin Resistance|Hypertension|Hypertension, Renovascular|Liver Cirrhosis|Fatty Liver|Colitis|Heart Diseases
N-(4-(3-chloro-4-(2-pyridinylmethoxy)anilino)-3-cyano-7-ethoxy-6-quinolyl)-4-(dimethylamino)-2-butenamide	Lung Neoplasms
batimastat	Pituitary Neoplasms
CVD protocol	Abdominal Neoplasms|Pheochromocytoma|Melanoma|Paraganglioma
hispidulin	Edema
Plant Extracts	Substance Withdrawal Syndrome|Acute Kidney Injury|Edema, Cardiac|Rheumatic Diseases|Escherichia coli Infections|Stomach Ulcer|Amnesia|Ventricular Remodeling|HIV Infections|Anemia|Tachycardia, Ventricular|Hyperalgesia|Intestinal Polyps|Common Cold|Carcinoma, Ehrlich Tumor|Hypesthesia|Precancerous Conditions|Myocardial Infarction|Drug-Related Side Effects and Adverse Reactions|Prostatic Neoplasms|Thrombosis|Weight Loss|Prostatitis|Hyperkinesis|Diabetic Neuropathies|Cell Transformation, Neoplastic|Diabetes Mellitus|Obesity|Arrhythmias, Cardiac|Leukemia, Experimental|Salmonella Infections|Neuralgia|Ascites|Dental Caries|Anhedonia|Anaphylaxis|Arthritis, Rheumatoid|Hyperplasia|Brain Ischemia|Hypercholesterolemia|Osteoporosis|Seizures|Hepatomegaly|Learning Disorders|Dermatitis, Phototoxic|Liver Diseases, Alcoholic|Neurodegenerative Diseases|Tic Disorders|Hyperemia|Lung Neoplasms|Uremia|Liver Cirrhosis, Experimental|Temporomandibular Joint Disorders|Colonic Neoplasms|Hypertriglyceridemia|Adenoma|Carcinoma|Carcinoma, Non-Small-Cell Lung|Neurobehavioral Manifestations|Amnesia, Anterograde|Hypothyroidism|Hyperinsulinism|Cough|Burns, Chemical|Memory Disorders|Wounds and Injuries|Radiation Injuries, Experimental|Renal Insufficiency|Ventricular Dysfunction, Left|Drug-Induced Liver Injury|Intestinal Neoplasms|Liver Neoplasms|Chromosome Breakage|Alzheimer Disease|Edema|Neoplasms|Carcinoma, Hepatocellular|Papilloma|Liver Diseases|Hypertension|Prostatic Hyperplasia|Herpes Simplex|Morphine Dependence|Hyperglycemia|Fatty Liver|Neurotoxicity Syndromes|Sleep Initiation and Maintenance Disorders|Arthritis, Experimental|Dermatitis, Atopic|Death|Melanoma|Syncope|Peripheral Nervous System Diseases|Proteus Infections|Leukemia|Pruritus|Hypersensitivity|Inflammation|Hypokinesia|Neoplasm Metastasis|Vomiting|Pain|Hyperuricemia|Endomyocardial Fibrosis|Amnesia, Retrograde|Blepharoptosis|Respiratory Tract Diseases|Hot Flashes|Erectile Dysfunction|Testicular Diseases|Liver Cirrhosis|Pulmonary Fibrosis|Pseudomonas Infections|Colitis|Neoplasms, Experimental|Cardiomyopathy, Alcoholic|Halitosis|Diabetes Mellitus, Experimental|Kidney Diseases|Neoplasms, Radiation-Induced|Hypertrophy|Tremor|Hypothermia|Mouth Neoplasms|Adenomatous Polyposis Coli|Hyperlipidemias|Hemorrhage|Drug-Induced Liver Injury, Chronic|Epilepsy|Epilepsy, Temporal Lobe|Staphylococcal Infections|Mitochondrial Diseases|Catatonia|Ataxia|Neoplasm Invasiveness|Liver Neoplasms, Experimental|Acinetobacter Infections|Diabetic Nephropathies|Breast Neoplasms|Dysmenorrhea|Dermatitis|Narcolepsy|Cardiomyopathies|Nerve Degeneration|Ocular Hypertension|Parkinsonian Disorders|Ventricular Premature Complexes|Colitis, Ulcerative|Weight Gain|Stomach Neoplasms|Dyskinesia, Drug-Induced|Fever|Heart Failure|Cardiomegaly|Myocardial Ischemia|Lung Diseases|Cystitis|Insulin Resistance|Erythema|Hyperhomocysteinemia|Necrosis|Diabetes Mellitus, Type 2|Glucose Intolerance|Pancreatic Diseases|Skin Neoplasms|Plaque, Atherosclerotic|Oligospermia|Urinary Bladder Diseases|Catalepsy|Dyslipidemias|Constipation|Lung Injury|Osteosarcoma|Epilepsy, Tonic-Clonic|Consciousness Disorders|Heart Diseases
oryzalin	Melanoma|Cryptosporidiosis|Toxoplasmosis|Malaria, Falciparum
etonogestrel	Dysmenorrhea
ethanolamine oleate	Gastrointestinal Hemorrhage
perthamide C	Inflammation
fucoidan	Neoplasm Invasiveness|Cerebral Hemorrhage|Urinary Bladder Neoplasms|Stomach Ulcer
cetylpyridinium chloride, zinc acetate drug combination	Dental Caries
eugenol, zinc oxide dental cavity lining	Bacterial Infections
doramectin	Breast Neoplasms|Carcinoma
meobentine	Tachycardia|Ventricular Fibrillation
frederine	Drug-Related Side Effects and Adverse Reactions
6,7-dimethoxy-3-phenylquinoxaline	Leukemia, Myeloid, Acute
